                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 2.2346,                 3.5171,                 3.2435,                0.40202,                0.65908,                0.18546,                0.13613,                0.88522,                 2.4753,                 1.6745,             0.00030218,             0.00030218,             0.00030218
                      1,                0.83915,                 2.0854,                 1.5649,                0.51972,                0.51149,                0.32901,                0.28912,                 0.6092,                 1.5367,                 1.2061,              0.0005932,              0.0005932,              0.0005932
                      2,                0.60546,                 1.6192,                 1.3313,                 0.6119,                 0.5729,                0.45248,                0.40128,                 0.5375,                 1.2695,                 1.1608,             0.00087222,             0.00087222,             0.00087222
                      3,                0.53234,                 1.4112,                 1.2761,                0.68985,                0.54347,                0.52312,                0.46479,                0.52636,                 1.2994,                 1.1422,             0.00085501,             0.00085501,             0.00085501
                      4,                0.48197,                 1.2802,                 1.2341,                 0.7757,                0.55132,                0.59637,                0.53686,                0.56759,                 1.0298,                 1.1508,             0.00085501,             0.00085501,             0.00085501
                      5,                 0.4574,                 1.1604,                 1.2156,                0.81569,                0.59816,                0.66461,                0.60023,                0.58538,                0.83639,                 1.1418,             0.00083701,             0.00083701,             0.00083701
                      6,                0.44399,                 1.0537,                 1.2087,                0.87977,                0.54416,                0.64483,                0.57476,                0.54765,                0.81618,                  1.065,             0.00081901,             0.00081901,             0.00081901
                      7,                0.41975,                0.97098,                  1.189,                0.87056,                0.59822,                0.71701,                0.64801,                0.54245,                0.74036,                  1.077,             0.00080101,             0.00080101,             0.00080101
                      8,                 0.4046,                0.90866,                 1.1797,                0.86243,                0.65792,                0.75988,                0.68006,                0.54196,                0.68948,                 1.0217,             0.00078301,             0.00078301,             0.00078301
                      9,                0.39945,                0.87996,                  1.178,                0.87909,                0.65654,                0.68918,                0.62279,                0.48065,                0.64098,                 1.0469,             0.00076501,             0.00076501,             0.00076501
                     10,                0.39029,                0.83428,                 1.1644,                0.91189,                0.64133,                 0.7247,                0.65733,                0.49831,                0.61048,                 1.0039,             0.00074702,             0.00074702,             0.00074702
                     11,                0.38285,                0.79671,                 1.1629,                 0.9207,                0.67594,                0.76117,                0.68651,                0.48064,                0.56058,                0.93434,             0.00072902,             0.00072902,             0.00072902
                     12,                0.38828,                0.78161,                 1.1659,                0.88877,                0.64403,                0.73274,                0.65263,                0.50451,                0.63331,                0.98871,             0.00071102,             0.00071102,             0.00071102
                     13,                0.36943,                0.74911,                 1.1523,                0.53726,                0.75992,                0.74687,                0.68581,                0.49978,                0.58221,                0.98327,             0.00069302,             0.00069302,             0.00069302
                     14,                0.36395,                 0.7416,                 1.1461,                0.94085,                0.67081,                0.79238,                0.71354,                0.50644,                0.55968,                0.95773,             0.00067502,             0.00067502,             0.00067502
                     15,                   0.37,                0.71438,                 1.1533,                0.94265,                0.64685,                0.73169,                0.65719,                0.49244,                0.55753,                0.90129,             0.00065703,             0.00065703,             0.00065703
                     16,                0.35608,                0.69214,                 1.1474,                0.92396,                 0.6854,                0.72802,                0.65799,                0.51298,                0.48082,                0.97868,             0.00063903,             0.00063903,             0.00063903
                     17,                0.34893,                 0.6678,                 1.1426,                0.92458,                0.69723,                0.71293,                0.64004,                0.52123,                0.52563,                0.97785,             0.00062103,             0.00062103,             0.00062103
                     18,                0.34945,                0.65694,                 1.1426,                0.92404,                0.66551,                0.73325,                0.66278,                0.48385,                0.51857,                 0.9399,             0.00060303,             0.00060303,             0.00060303
                     19,                0.35618,                 0.6418,                 1.1405,                0.94965,                0.67849,                0.72507,                0.66161,                0.51819,                0.48217,                0.95786,             0.00058503,             0.00058503,             0.00058503
                     20,                0.34521,                0.64866,                 1.1346,                0.93922,                0.68282,                0.72563,                0.65981,                0.49423,                0.48672,                0.92811,             0.00056703,             0.00056703,             0.00056703
                     21,                0.33921,                0.62699,                 1.1323,                0.93776,                0.68646,                0.73513,                0.67054,                0.48399,                0.49287,                0.90489,             0.00054904,             0.00054904,             0.00054904
                     22,                0.33189,                0.60419,                 1.1238,                0.94031,                0.68749,                0.72128,                0.65604,                0.48152,                 0.4682,                0.89235,             0.00053104,             0.00053104,             0.00053104
                     23,                0.34325,                0.60477,                 1.1334,                 0.9541,                0.68925,                0.72594,                0.65797,                0.52422,                0.45882,                0.96575,             0.00051304,             0.00051304,             0.00051304
                     24,                0.33004,                0.58646,                 1.1251,                0.94371,                0.67376,                0.77626,                 0.7088,                0.49954,                0.44786,                 0.9075,             0.00049504,             0.00049504,             0.00049504
                     25,                0.32319,                0.57575,                 1.1182,                0.94652,                0.63829,                0.73183,                0.66439,                0.47765,                 0.5017,                0.91197,             0.00047704,             0.00047704,             0.00047704
                     26,                0.33093,                0.57182,                 1.1237,                0.95272,                0.68246,                 0.7423,                0.67283,                0.51056,                0.45307,                0.92742,             0.00045904,             0.00045904,             0.00045904
                     27,                0.32824,                0.56031,                 1.1203,                0.61092,                0.91206,                0.73447,                0.66642,                0.49501,                0.46133,                0.86887,             0.00044105,             0.00044105,             0.00044105
                     28,                 0.3216,                 0.5448,                 1.1194,                0.94716,                0.67669,                0.73434,                0.66872,                0.48689,                0.43401,                0.88774,             0.00042305,             0.00042305,             0.00042305
                     29,                0.31214,                0.53902,                 1.1058,                0.61265,                0.83757,                0.72997,                0.66256,                0.46609,                0.43294,                0.88556,             0.00040505,             0.00040505,             0.00040505
                     30,                0.31863,                 0.5433,                 1.1168,                0.63712,                0.91312,                0.73692,                0.67755,                0.46695,                0.43433,                0.88569,             0.00038705,             0.00038705,             0.00038705
                     31,                0.31321,                0.53928,                 1.1167,                0.81603,                0.75704,                0.74243,                0.68207,                0.48699,                0.45174,                0.85125,             0.00036905,             0.00036905,             0.00036905
                     32,                0.30738,                0.52878,                 1.1065,                0.65655,                0.91644,                 0.7387,                0.68009,                0.49157,                0.40737,                 0.8826,             0.00035106,             0.00035106,             0.00035106
                     33,                0.31007,                0.51646,                 1.1144,                0.67096,                0.91062,                0.75014,                0.68561,                0.47286,                0.40067,                0.87178,             0.00033306,             0.00033306,             0.00033306
                     34,                0.29862,                 0.5006,                 1.1048,                0.65063,                0.77359,                0.72325,                0.66328,                 0.4773,                0.40653,                0.87644,             0.00031506,             0.00031506,             0.00031506
                     35,                0.30049,                0.50067,                 1.1064,                0.67216,                0.77359,                0.78508,                 0.7273,                0.46239,                0.38289,                0.85181,             0.00029706,             0.00029706,             0.00029706
